track_id,track_name,track_artist,track_album_name,energy,tempo,danceability,loudness,liveness,valence,speechiness,track_popularity,instrumentalness,duration_ms,acousticness
69phA1R4gmQsBFRQ3INW8C,ONE CALL,Rich Amiri,Ghetto Fabulous,0.539,158.105,0.65,-7.281,0.114,0.253,0.0561,76,2.67e-05,121399,0.00617
2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),"Drake, Yeat",For All The Dogs,0.672,136.902,0.673,-8.577,0.193,0.14,0.224,76,0.000284,260111,0.0466
7MIhUdNJtaOnDmC5nBC1fb,Deep Down (feat. Never Dull),"Alok, Ella Eyre, Kenny Dope, Never Dull",Deep Down (feat. Never Dull),0.818,125.952,0.687,-4.221,0.248,0.886,0.0778,76,0.0,165753,0.0112
5PyDJG7SQRgWXefgexqIge,Agora Hills,Doja Cat,Scarlet,0.687,123.01,0.755,-6.247,0.125,0.381,0.101,76,0.000177,265360,0.183
06PqeO7IInus2yvzsZwZhf,CUTE DEPRESSED,Dyan Dxddy,CUTE DEPRESSED,0.919,151.221,0.83,-2.12,0.0757,0.848,0.145,76,0.748,96947,0.503
2V3hsJU3bTOATih0Fm4aDp,BRODYAGA FUNK,Eternxlkz,BRODYAGA FUNK,0.738,130.0,0.593,-2.956,0.292,0.591,0.0351,75,0.968,134785,0.269
0EqczV3o6fwksegAavIHpX,LOVELY BASTARDS,"ZWE1HVNDXR, yatashigang",LOVELY BASTARDS,0.81,150.251,0.613,-6.16,0.137,0.686,0.488,75,0.899,116104,0.832
17NHXI2CJp7KgdcwcDnRx4,Boyz In Paris (with VINAI),"Marnik, Naeleck, VINAI",Boyz In Paris (with VINAI),0.967,149.036,0.628,-4.068,0.274,0.399,0.0485,75,4.67e-05,151589,0.0398
0FA4wrjDJvJTTU8AepZTup,Watch This - ARIZONATEARS Pluggnb Remix,"Lil Uzi Vert, sped up nightcore, ARIZONATEARS",Watch This (ARIZONATEARS Pluggnb Remix),0.897,129.975,0.686,-7.18,0.153,0.355,0.0386,75,0.103,163139,0.0103
36gcliMRX1vCpgnrZE3dFZ,10:35,"Tiësto, Tate McRae",DRIVE,0.793,120.003,0.696,-5.733,0.18,0.698,0.097,75,3.78e-06,172253,0.0683
6KqM3xmPIDonsTjCSGrrr5,TOO COOL TO BE CARELESS,PAWSA,TOO COOL TO BE CARELESS,0.781,128.001,0.805,-7.225,0.0598,0.818,0.0434,74,0.302,220000,0.002
2JIzOc3HHo4MhiyZzhpBUV,Automotivo Bibi Fogosa,"Bibi Babydoll, Dj Brunin XM, KZA Produções",Automotivo Bibi Fogosa,0.848,135.048,0.721,-3.371,0.097,0.774,0.0266,74,2.11e-06,129800,0.26
0HqZX76SFLDz2aW8aiqi7G,Bones,Imagine Dragons,Bones,0.742,114.071,0.773,-3.678,0.0754,0.571,0.046,74,0.0,165265,0.0206
7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),"Drake, J. Cole",For All The Dogs,0.655,163.997,0.475,-7.342,0.375,0.245,0.33,74,0.0,247444,0.0306
63HwAAXuSV2tzIUPoHOwZa,Atmosphere,"FISHER, Kita Alexander",Atmosphere,0.895,125.985,0.762,-4.562,0.204,0.757,0.0734,73,0.142,182857,0.00623
3K5KXm1uZjiyQk0J7op1xf,9mm,"Memphis Cult, Groove Dealers, SPLYXER",Memphis Cult Vol. 6,0.915,154.964,0.737,-2.749,0.084,0.304,0.0412,73,2.58e-05,86710,0.00322
1golLrmqyxDWedF7YUHCOD,edamame,"bbno$, Rich Brian",eat ya veggies,0.85,106.036,0.815,-4.704,0.0245,0.694,0.113,73,0.000143,133707,0.0232
5NAOhPAZ57eFAXr3qatS6i,Breathe,Yeat,2093,0.546,118.051,0.76,-13.092,0.103,0.113,0.0616,73,0.924,170847,0.0284
06tNJ27nVxbDwhiQMChWyr,GOOD LOYAL THOTS,Odetari,GOOD LOYAL THOTS,0.86,146.441,0.585,-5.274,0.18,0.607,0.116,73,0.000142,102557,0.0566
5GCU2LJWPzoP8Q6nexs61z,Let's Go,Key Glock,Glockoma 2 (Deluxe),0.636,75.486,0.654,-6.904,0.412,0.267,0.0845,73,0.0,140107,0.00258
210JJAa9nJOgNa0YNrsT5g,GODS,"League of Legends, NewJeans",GODS,0.765,145.988,0.588,-5.914,0.2,0.492,0.0518,73,3.23e-05,220878,0.00685
4KZMoDuxwSYP63bhbnMqe3,Stronger,Young Jonn,Jiggy Forever,0.819,110.14,0.726,-7.094,0.27,0.636,0.106,70,9.65e-05,141818,0.477
10y7iW3rc8bzGbhAC3mNPA,Are you there?,Ayo Maff,MAFFIAN,0.529,112.014,0.782,-8.626,0.413,0.44,0.0592,69,1.42e-06,156429,0.509
7ySC0IjVS1PMEdsZOvsUK2,OZEBA,Rema,HEIS,0.841,147.989,0.754,-4.563,0.0903,0.838,0.0921,68,0.0,137684,0.136
3MldGIMtPcupNBI4Dnxolr,Constantly,"Hyce, BoyPee, Brown Joel",Constantly,0.705,197.98,0.374,-8.37,0.14,0.718,0.145,68,0.0,193567,0.172
6XBIOtdSL47qn201KKNCA0,JUJU (feat. Shallipopi),"Smur Lee, ODUMODUBLVCK, Shallipopi",JUJU (feat. Shallipopi),0.719,113.012,0.897,-7.164,0.0677,0.546,0.157,71,0.000531,157756,0.116
